Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.4  0.15 0.   0.45 0.  ],9.928570534611935e-11,0.2
[0.4 0.1 0.  0.5 0. ],1.0936496437352617e-10,0.2
[0.4  0.05 0.   0.55 0.  ],9.478835067966429e-11,0.2
[0.4 0.  0.  0.6 0. ],6.971133643673966e-11,0.2
[0.35 0.65 0.   0.   0.  ],3.5738539270980735e-18,-0.075
[0.35 0.6  0.   0.05 0.  ],1.2109288682893294e-12,0.07499999999999998
[0.35 0.55 0.   0.1  0.  ],2.3902643420115057e-12,0.2
[0.35 0.5  0.   0.15 0.  ],8.017689623329716e-12,0.2
[0.35 0.45 0.   0.2  0.  ],1.7565571397426538e-11,0.2
[0.35 0.4  0.   0.25 0.  ],3.132664119220863e-11,0.2
[0.35 0.35 0.   0.3  0.  ],4.3865003362952846e-11,0.2
[0.35 0.3  0.   0.35 0.  ],6.536820933433774e-11,0.2
[0.35 0.25 0.   0.4  0.  ],9.020800462167244e-11,0.2
[0.35 0.2  0.   0.45 0.  ],1.0189469321630896e-10,0.2
[0.35 0.15 0.   0.5  0.  ],1.275399654332432e-10,0.2
[0.35 0.1  0.   0.55 0.  ],1.193365164908755e-10,0.2
[0.35 0.05 0.   0.6  0.  ],1.0271705832565203e-10,0.2
[0.35 0.   0.   0.65 0.  ],7.670344643884164e-11,0.2
[0.3 0.7 0.  0.  0. ],3.725536521534227e-18,-0.075
[0.3  0.65 0.   0.05 0.  ],3.351246391503082e-13,0.024999999999999994
[0.3 0.6 0.  0.1 0. ],2.8521863981723074e-12,0.2
[0.3  0.55 0.   0.15 0.  ],6.79802028002996e-12,0.2
[0.3 0.5 0.  0.2 0. ],1.49922328773755e-11,0.2
[0.3  0.45 0.   0.25 0.  ],2.8512130256785896e-11,0.2
[0.3 0.4 0.  0.3 0. ],3.9224380543601e-11,0.2
[0.3  0.35 0.   0.35 0.  ],6.623009198847285e-11,0.2
[0.3 0.3 0.  0.4 0. ],7.93885305938602e-11,0.2
[0.3  0.25 0.   0.45 0.  ],1.0589766361590591e-10,0.2
[0.3 0.2 0.  0.5 0. ],1.197266897179361e-10,0.2
[0.3  0.15 0.   0.55 0.  ],1.3409130588115657e-10,0.2
[0.3 0.1 0.  0.6 0. ],1.2642423143915947e-10,0.2
[0.3  0.05 0.   0.65 0.  ],1.1711119896062884e-10,0.2
[0.3 0.  0.  0.7 0. ],8.153831458912464e-11,0.2
[0.25 0.75 0.   0.   0.  ],3.70523991805212e-18,-0.075
[0.25 0.7  0.   0.05 0.  ],3.985416441310008e-13,0.2
[0.25 0.65 0.   0.1  0.  ],2.0569636660638934e-12,0.2
[0.25 0.6  0.   0.15 0.  ],5.4116256364977745e-12,0.2
[0.25 0.55 0.   0.2  0.  ],1.2845636376823676e-11,0.2
[0.25 0.5  0.   0.25 0.  ],2.136618633130638e-11,0.2
[0.25 0.45 0.   0.3  0.  ],3.7368710081864263e-11,0.2
[0.25 0.4  0.   0.35 0.  ],5.122685706737684e-11,0.2
[0.25 0.35 0.   0.4  0.  ],6.524747959701927e-11,0.2
[0.25 0.3  0.   0.45 0.  ],9.308107564720559e-11,0.2
[0.25 0.25 0.   0.5  0.  ],1.1983106560364831e-10,0.2
[0.25 0.2  0.   0.55 0.  ],1.339299046776432e-10,0.2
[0.25 0.15 0.   0.6  0.  ],1.338726974609017e-10,0.2
[0.25 0.1  0.   0.65 0.  ],1.4207812455424574e-10,0.2
[0.25 0.05 0.   0.7  0.  ],1.224831407853344e-10,0.2
[0.25 0.   0.   0.75 0.  ],8.974955676421815e-11,0.2
[0.2 0.8 0.  0.  0. ],3.678545166499632e-18,-0.075
[0.2  0.75 0.   0.05 0.  ],1.9918395821605373e-13,0.024999999999999994
[0.2 0.7 0.  0.1 0. ],6.928853046872519e-13,0.2
[0.2  0.65 0.   0.15 0.  ],3.248112179221607e-12,0.2
[0.2 0.6 0.  0.2 0. ],7.944694146999608e-12,0.2
[0.2  0.55 0.   0.25 0.  ],1.2516525771388842e-11,0.2
[0.2 0.5 0.  0.3 0. ],2.7763002208303078e-11,0.2
[0.2  0.45 0.   0.35 0.  ],3.846574259114277e-11,0.2
[0.2 0.4 0.  0.4 0. ],5.7715959655979535e-11,0.2
[0.2  0.35 0.   0.45 0.  ],7.962187282828381e-11,0.2
[0.2 0.3 0.  0.5 0. ],1.0516505426494405e-10,0.2
[0.2  0.25 0.   0.55 0.  ],1.320999899689923e-10,0.2
[0.2 0.2 0.  0.6 0. ],1.471483528803219e-10,0.2
[0.2  0.15 0.   0.65 0.  ],1.440692813048372e-10,0.2
[0.2 0.1 0.  0.7 0. ],1.507234969722049e-10,0.2
[0.2  0.05 0.   0.75 0.  ],1.2829229945054976e-10,0.2
[0.2 0.  0.  0.8 0. ],9.949758350558114e-11,0.2
[0.15 0.85 0.   0.   0.  ],3.619932519428708e-18,-0.075
[0.15 0.8  0.   0.05 0.  ],1.5664826102934625e-13,0.2
[0.15 0.75 0.   0.1  0.  ],2.7843629624157984e-13,0.2
[0.15 0.7  0.   0.15 0.  ],1.8863589801298986e-12,0.2
[0.15 0.65 0.   0.2  0.  ],4.2653134357806264e-12,0.2
[0.15 0.6  0.   0.25 0.  ],1.0456574983663814e-11,0.2
[0.15 0.55 0.   0.3  0.  ],1.745621887039306e-11,0.2
[0.15 0.5  0.   0.35 0.  ],3.289102892267692e-11,0.2
[0.15 0.45 0.   0.4  0.  ],4.590232265400118e-11,0.2
[0.15 0.4  0.   0.45 0.  ],7.10535061898554e-11,0.2
[0.15 0.35 0.   0.5  0.  ],9.147971695711021e-11,0.2
[0.15 0.3  0.   0.55 0.  ],1.1436759450589307e-10,0.2
[0.15 0.25 0.   0.6  0.  ],1.3784012935502688e-10,0.2
[0.15 0.2  0.   0.65 0.  ],1.512311428086832e-10,0.2
