Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.99 0.   0.   0.   0.  ],4.225634064651242e-23,-0.12586206896551724
[0.96 0.   0.03 0.   0.  ],1.751560796902328e-19,-0.05344827586206896
[0.96 0.   0.   0.   0.03],1.7953138798475266e-06,0.01896551724137932
[0.93 0.   0.06 0.   0.  ],3.939560402075118e-19,-0.05344827586206896
[0.93 0.   0.03 0.   0.03],1.931468024849892e-06,0.06724137931034482
[0.93 0.   0.   0.   0.06],2.641926147043705e-06,0.06724137931034482
[0.9  0.   0.09 0.   0.  ],6.43594268048657e-19,-0.05344827586206896
[0.9  0.   0.06 0.   0.03],1.844005100429058e-06,0.06724137931034482
[0.9  0.   0.03 0.   0.06],2.5840235874056816e-06,0.06724137931034482
[0.9  0.   0.   0.   0.09],3.875908628106117e-06,0.06724137931034482
[0.87 0.   0.12 0.   0.  ],8.955803865162963e-19,-0.05344827586206896
[0.87 0.   0.09 0.   0.03],1.481431070715189e-06,0.06724137931034482
[0.87 0.   0.06 0.   0.06],2.684269845485687e-06,0.06724137931034482
[0.87 0.   0.03 0.   0.09],3.407840430736542e-06,0.06724137931034482
[0.87 0.   0.   0.   0.12],4.262853786349296e-06,0.0793103448275862
[0.84 0.   0.15 0.   0.  ],1.2045171040057575e-18,-0.05344827586206896
[0.84 0.   0.12 0.   0.03],1.5787236392498016e-06,0.05517241379310345
[0.84 0.   0.09 0.   0.06],2.4501711130142212e-06,0.06724137931034482
[0.84 0.   0.06 0.   0.09],3.113543801009655e-06,0.06724137931034482
[0.84 0.   0.03 0.   0.12],3.750894218683243e-06,0.06724137931034482
[0.84 0.   0.   0.   0.15],4.5999020338058475e-06,0.0793103448275862
[0.81 0.   0.18 0.   0.  ],1.5743842048197148e-18,-0.05344827586206896
[0.81 0.   0.15 0.   0.03],1.5807842835783958e-06,0.05517241379310345
[0.81 0.   0.12 0.   0.06],2.4032892659306527e-06,0.06724137931034482
[0.81 0.   0.09 0.   0.09],3.0907927080988885e-06,0.06724137931034482
[0.81 0.   0.06 0.   0.12],3.727588802576065e-06,0.06724137931034482
[0.81 0.   0.03 0.   0.15],4.119504988193512e-06,0.0793103448275862
[0.81 0.   0.   0.   0.18],4.8064671456813815e-06,0.0793103448275862
[0.78 0.   0.21 0.   0.  ],1.7560585418522485e-18,-0.05344827586206896
[0.78 0.   0.18 0.   0.03],1.288740523159504e-06,0.05517241379310345
[0.78 0.   0.15 0.   0.06],2.481049858033657e-06,0.06724137931034482
[0.78 0.   0.12 0.   0.09],3.30161415040493e-06,0.06724137931034482
[0.78 0.   0.09 0.   0.12],3.7022124975919725e-06,0.06724137931034482
