Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.5 0.2 0.1 0.1 0.1],1.3208648189902306e-06,0.04999999999999999
[0.5 0.2 0.1 0.  0.2],3.1133687123656274e-06,0.04999999999999999
[0.5 0.2 0.  0.3 0. ],5.7906413530872666e-11,0.2
[0.5 0.2 0.  0.2 0.1],7.269516587257385e-07,0.04999999999999999
[0.5 0.2 0.  0.1 0.2],1.2791328132152557e-06,0.04999999999999999
[0.5 0.2 0.  0.  0.3],1.943824253976345e-06,0.04999999999999999
[0.5 0.1 0.4 0.  0. ],4.044604007182734e-18,-0.075
[0.5 0.1 0.3 0.1 0. ],9.044266846558458e-12,0.2
[0.5 0.1 0.3 0.  0.1],3.0739318579435347e-06,0.024999999999999994
[0.5 0.1 0.2 0.2 0. ],2.5751685939212622e-11,0.2
[0.5 0.1 0.2 0.1 0.1],1.3144679367542267e-06,0.04999999999999999
[0.5 0.1 0.2 0.  0.2],3.054840862751007e-06,0.04999999999999999
[0.5 0.1 0.1 0.3 0. ],5.17900730301335e-11,0.2
[0.5 0.1 0.1 0.2 0.1],7.285908795893192e-07,0.024999999999999994
[0.5 0.1 0.1 0.1 0.2],1.1891450732946397e-06,0.07499999999999998
[0.5 0.1 0.1 0.  0.3],2.3983540013432505e-06,0.04999999999999999
[0.5 0.1 0.  0.4 0. ],7.978213716341998e-11,0.2
[0.5 0.1 0.  0.3 0.1],2.0200633443892002e-07,0.07499999999999998
[0.5 0.1 0.  0.2 0.2],4.611516371369362e-07,0.04999999999999999
[0.5 0.1 0.  0.1 0.3],9.153438732028007e-07,0.07499999999999998
[0.5 0.1 0.  0.  0.4],1.2527726590633391e-06,0.07499999999999998
[0.5 0.  0.5 0.  0. ],2.3349227214783213e-18,-0.075
[0.5 0.  0.4 0.1 0. ],3.395212289092342e-12,0.2
[0.5 0.  0.4 0.  0.1],2.3497426882386206e-06,0.04999999999999999
[0.5 0.  0.3 0.2 0. ],1.0970492070327964e-11,0.2
[0.5 0.  0.3 0.1 0.1],1.351968664675951e-06,0.04999999999999999
[0.5 0.  0.3 0.  0.2],3.052659332752228e-06,0.04999999999999999
[0.5 0.  0.2 0.3 0. ],2.123492208738753e-11,0.2
[0.5 0.  0.2 0.2 0.1],5.597238428890706e-07,0.07499999999999998
[0.5 0.  0.2 0.1 0.2],1.0598424822092056e-06,0.07499999999999998
[0.5 0.  0.2 0.  0.3],2.5106100365519522e-06,0.04999999999999999
[0.5 0.  0.1 0.4 0. ],3.664109726742026e-11,0.2
[0.5 0.  0.1 0.3 0.1],2.391814952716231e-07,0.07499999999999998
[0.5 0.  0.1 0.2 0.2],3.86075209826231e-07,0.07499999999999998
[0.5 0.  0.1 0.1 0.3],7.432530634105206e-07,0.07499999999999998
[0.5 0.  0.1 0.  0.4],1.4964867383241654e-06,0.07499999999999998
[0.5 0.  0.  0.5 0. ],5.50871391169494e-11,0.2
[0.5 0.  0.  0.4 0.1],5.717488238587975e-08,0.07499999999999998
[0.5 0.  0.  0.3 0.2],1.53743801638484e-07,0.07499999999999998
[0.5 0.  0.  0.2 0.3],2.399003831669688e-07,0.07499999999999998
[0.5 0.  0.  0.1 0.4],4.357050638645887e-07,0.07499999999999998
[0.5 0.  0.  0.  0.5],7.364852353930473e-07,0.07499999999999998
[0.4 0.6 0.  0.  0. ],3.3874355279345582e-18,-0.075
[0.4 0.5 0.1 0.  0. ],4.665864049291368e-18,-0.075
[0.4 0.5 0.  0.1 0. ],5.456006846316086e-12,0.2
[0.4 0.5 0.  0.  0.1],2.865317836403847e-06,0.04999999999999999
[0.4 0.4 0.2 0.  0. ],5.390229007497943e-18,-0.075
[0.4 0.4 0.1 0.1 0. ],6.9861563645190474e-12,0.2
[0.4 0.4 0.1 0.  0.1],2.81657874584198e-06,0.04999999999999999
[0.4 0.4 0.  0.2 0. ],2.2336965344038618e-11,0.2
[0.4 0.4 0.  0.1 0.1],1.8106166273355484e-06,0.04999999999999999
[0.4 0.4 0.  0.  0.2],3.114253282546997e-06,0.04999999999999999
[0.4 0.3 0.3 0.  0. ],5.4372156191480335e-18,-0.075
[0.4 0.3 0.2 0.1 0. ],9.859963512326431e-12,0.2
[0.4 0.3 0.2 0.  0.1],3.268742933869362e-06,0.024999999999999994
[0.4 0.3 0.1 0.2 0. ],2.869252284654067e-11,0.2
[0.4 0.3 0.1 0.1 0.1],1.8397204577922821e-06,0.024999999999999994
[0.4 0.3 0.1 0.  0.2],3.2321393489837648e-06,0.04999999999999999
[0.4 0.3 0.  0.3 0. ],5.580593551712809e-11,0.2
[0.4 0.3 0.  0.2 0.1],9.604781866073608e-07,0.04999999999999999
[0.4 0.3 0.  0.1 0.2],1.627369597554207e-06,0.04999999999999999
[0.4 0.3 0.  0.  0.3],1.8571620807051658e-06,0.07499999999999998
[0.4 0.2 0.4 0.  0. ],4.7349765167764566e-18,-0.075
[0.4 0.2 0.3 0.1 0. ],1.0879220724291372e-11,0.2
[0.4 0.2 0.3 0.  0.1],2.8531502932310105e-06,0.024999999999999994
[0.4 0.2 0.2 0.2 0. ],3.2609634104119324e-11,0.2
[0.4 0.2 0.2 0.1 0.1],1.9699716940522194e-06,0.024999999999999994
[0.4 0.2 0.2 0.  0.2],3.1876958906650544e-06,0.04999999999999999
[0.4 0.2 0.1 0.3 0. ],5.760418275713164e-11,0.2
[0.4 0.2 0.1 0.2 0.1],9.011426940560341e-07,0.04999999999999999
[0.4 0.2 0.1 0.1 0.2],1.3492055237293243e-06,0.04999999999999999
[0.4 0.2 0.1 0.  0.3],2.2049089893698694e-06,0.04999999999999999
[0.4 0.2 0.  0.4 0. ],9.176833941637597e-11,0.2
[0.4 0.2 0.  0.3 0.1],3.6609654780477283e-07,0.04999999999999999
[0.4 0.2 0.  0.2 0.2],5.213855765759945e-07,0.04999999999999999
[0.4 0.2 0.  0.1 0.3],7.949267514050007e-07,0.07499999999999998
[0.4 0.2 0.  0.  0.4],1.170322485268116e-06,0.07499999999999998
[0.4 0.1 0.5 0.  0. ],3.3711294660735553e-18,-0.075
[0.4 0.1 0.4 0.1 0. ],8.731889522550773e-12,0.2
[0.4 0.1 0.4 0.  0.1],2.7928870171308516e-06,0.024999999999999994
[0.4 0.1 0.3 0.2 0. ],2.449655767122749e-11,0.2
[0.4 0.1 0.3 0.1 0.1],1.652190461754799e-06,0.0
[0.4 0.1 0.3 0.  0.2],3.4212511032819747e-06,0.024999999999999994
[0.4 0.1 0.2 0.3 0. ],5.065106165602629e-11,0.2
[0.4 0.1 0.2 0.2 0.1],1.0195847600698471e-06,-0.02500000000000001
[0.4 0.1 0.2 0.1 0.2],1.3515220955014229e-06,0.024999999999999994
[0.4 0.1 0.2 0.  0.3],2.50130333006382e-06,0.04999999999999999
[0.4 0.1 0.1 0.4 0. ],7.316266987800191e-11,0.2
[0.4 0.1 0.1 0.3 0.1],2.398856449872255e-07,0.04999999999999999
[0.4 0.1 0.1 0.2 0.2],3.6670404952019453e-07,0.07499999999999998
[0.4 0.1 0.1 0.1 0.3],7.863808423280716e-07,0.07499999999999998
[0.4 0.1 0.1 0.  0.4],1.4336620457470418e-06,0.04999999999999999
[0.4 0.1 0.  0.5 0. ],1.102597138924466e-10,0.2
[0.4 0.1 0.  0.4 0.1],1.1445693671703338e-07,0.04999999999999999
[0.4 0.1 0.  0.3 0.2],1.3267891481518745e-07,0.07499999999999998
[0.4 0.1 0.  0.2 0.3],1.598763861693442e-07,0.07499999999999998
[0.4 0.1 0.  0.1 0.4],3.3520408906042574e-07,0.07499999999999998
[0.4 0.1 0.  0.  0.5],4.3879617005586623e-07,0.07499999999999998
[0.4 0.  0.6 0.  0. ],1.7271172895170529e-18,-0.075
[0.4 0.  0.5 0.1 0. ],3.2486944689935626e-12,0.2
[0.4 0.  0.5 0.  0.1],3.038228861987591e-06,0.024999999999999994
[0.4 0.  0.4 0.2 0. ],9.412097057293067e-12,0.2
[0.4 0.  0.4 0.1 0.1],1.5967000275850297e-06,0.024999999999999994
[0.4 0.  0.4 0.  0.2],3.4803323447704315e-06,0.024999999999999994
[0.4 0.  0.3 0.3 0. ],1.942024709933321e-11,0.2
[0.4 0.  0.3 0.2 0.1],5.323480814695359e-07,0.07499999999999998
[0.4 0.  0.3 0.1 0.2],1.1159857735037804e-06,0.04999999999999999
[0.4 0.  0.3 0.  0.3],2.535661496222019e-06,0.04999999999999999
[0.4 0.  0.2 0.4 0. ],3.3977528346440524e-11,0.2
[0.4 0.  0.2 0.3 0.1],2.419484779238701e-07,0.07499999999999998
[0.4 0.  0.2 0.2 0.2],3.832250135019422e-07,0.07499999999999998
[0.4 0.  0.2 0.1 0.3],8.076371625065804e-07,0.04999999999999999
[0.4 0.  0.2 0.  0.4],1.6785338521003722e-06,0.04999999999999999
[0.4 0.  0.1 0.5 0. ],4.903232593278517e-11,0.2
[0.4 0.  0.1 0.4 0.1],5.747901741415262e-08,0.09999999999999998
[0.4 0.  0.1 0.3 0.2],8.482723496854305e-08,0.04999999999999999
[0.4 0.  0.1 0.2 0.3],2.378961071372032e-07,0.07499999999999998
[0.4 0.  0.1 0.1 0.4],2.5850008241832255e-07,0.07499999999999998
[0.4 0.  0.1 0.  0.5],5.230687558650971e-07,0.07499999999999998
[0.4 0.  0.  0.6 0. ],7.181977252912474e-11,0.2
[0.4 0.  0.  0.5 0.1],8.271218393929304e-09,0.09999999999999998
[0.4 0.  0.  0.4 0.2],2.3670691007282586e-08,0.07499999999999998
[0.4 0.  0.  0.3 0.3],4.787109792232514e-08,0.09999999999999998
[0.4 0.  0.  0.2 0.4],7.427270174957812e-08,0.07499999999999998
[0.4 0.  0.  0.1 0.5],6.675646873191e-08,0.09999999999999998
[0.4 0.  0.  0.  0.6],1.821215497329831e-07,0.07499999999999998
[0.3 0.7 0.  0.  0. ],3.651548532404743e-18,-0.075
[0.3 0.6 0.1 0.  0. ],4.841535972046479e-18,-0.075
[0.3 0.6 0.  0.1 0. ],2.165479529026015e-12,0.2
[0.3 0.6 0.  0.  0.1],2.3059798404574395e-06,0.04999999999999999
[0.3 0.5 0.2 0.  0. ],5.78304494135845e-18,-0.075
[0.3 0.5 0.1 0.1 0. ],3.6372004075246877e-12,0.2
[0.3 0.5 0.1 0.  0.1],2.559744194149971e-06,0.04999999999999999
[0.3 0.5 0.  0.2 0. ],1.4833990746865312e-11,0.2
[0.3 0.5 0.  0.1 0.1],2.4318741634488105e-06,0.024999999999999994
[0.3 0.5 0.  0.  0.2],2.8359947726130487e-06,0.04999999999999999
[0.3 0.4 0.3 0.  0. ],5.724971684868338e-18,-0.075
[0.3 0.4 0.2 0.1 0. ],7.150146075218799e-12,0.2
[0.3 0.4 0.2 0.  0.1],3.0521657317876814e-06,0.024999999999999994
[0.3 0.4 0.1 0.2 0. ],2.2963486401295087e-11,0.2
[0.3 0.4 0.1 0.1 0.1],2.0197130739688873e-06,0.04999999999999999
[0.3 0.4 0.1 0.  0.2],3.439106047153473e-06,0.04999999999999999
[0.3 0.4 0.  0.3 0. ],4.297424425203644e-11,0.2
[0.3 0.4 0.  0.2 0.1],1.1302084662020207e-06,0.024999999999999994
[0.3 0.4 0.  0.1 0.2],1.979382522404194e-06,0.04999999999999999
[0.3 0.4 0.  0.  0.3],2.0636565983295442e-06,0.07499999999999998
[0.3 0.3 0.4 0.  0. ],4.637746282387493e-18,-0.075
[0.3 0.3 0.3 0.1 0. ],1.135692642151298e-11,0.2
[0.3 0.3 0.3 0.  0.1],3.140633925795555e-06,0.0
[0.3 0.3 0.2 0.2 0. ],2.6689937726587233e-11,0.2
[0.3 0.3 0.2 0.1 0.1],1.8772304058074952e-06,0.024999999999999994
[0.3 0.3 0.2 0.  0.2],3.5832636058330536e-06,0.024999999999999994
[0.3 0.3 0.1 0.3 0. ],5.3944728506394315e-11,0.2
[0.3 0.3 0.1 0.2 0.1],1.1552601121366024e-06,0.024999999999999994
[0.3 0.3 0.1 0.1 0.2],1.6560895368456841e-06,0.04999999999999999
[0.3 0.3 0.1 0.  0.3],2.0792312920093537e-06,0.04999999999999999
[0.3 0.3 0.  0.4 0. ],8.19797094209207e-11,0.2
[0.3 0.3 0.  0.3 0.1],4.505230113863945e-07,0.024999999999999994
[0.3 0.3 0.  0.2 0.2],7.537266239523888e-07,0.04999999999999999
[0.3 0.3 0.  0.1 0.3],9.470956400036812e-07,0.04999999999999999
[0.3 0.3 0.  0.  0.4],1.0983625426888466e-06,0.07499999999999998
[0.3 0.2 0.5 0.  0. ],3.79265168532969e-18,-0.075
[0.3 0.2 0.4 0.1 0. ],1.0695229235579973e-11,0.2
[0.3 0.2 0.4 0.  0.1],2.698206901550293e-06,0.024999999999999994
[0.3 0.2 0.3 0.2 0. ],2.921468365002511e-11,0.2
[0.3 0.2 0.3 0.1 0.1],1.696537807583809e-06,0.024999999999999994
[0.3 0.2 0.3 0.  0.2],3.302454948425293e-06,0.024999999999999994
[0.3 0.2 0.2 0.3 0. ],5.716647706321965e-11,0.2
[0.3 0.2 0.2 0.2 0.1],9.13422554731369e-07,0.024999999999999994
[0.3 0.2 0.2 0.1 0.2],1.7928408458828926e-06,0.024999999999999994
[0.3 0.2 0.2 0.  0.3],2.755717560648918e-06,0.04999999999999999
[0.3 0.2 0.1 0.4 0. ],9.069007091966341e-11,0.2
[0.3 0.2 0.1 0.3 0.1],6.473839282989502e-07,0.0
[0.3 0.2 0.1 0.2 0.2],6.760129705071449e-07,0.04999999999999999
[0.3 0.2 0.1 0.1 0.3],9.86743252724409e-07,0.04999999999999999
[0.3 0.2 0.1 0.  0.4],1.3615748845040799e-06,0.04999999999999999
[0.3 0.2 0.  0.5 0. ],1.1401576784919598e-10,0.2
[0.3 0.2 0.  0.4 0.1],1.7214685212820768e-07,0.0
[0.3 0.2 0.  0.3 0.2],1.8890409264713526e-07,0.024999999999999994
[0.3 0.2 0.  0.2 0.3],3.192608244717121e-07,0.07499999999999998
[0.3 0.2 0.  0.1 0.4],4.066253080964088e-07,0.07499999999999998
[0.3 0.2 0.  0.  0.5],4.2288992553949354e-07,0.07499999999999998
[0.3 0.1 0.6 0.  0. ],2.458023205548915e-18,-0.075
