Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.12586206896551724
[0.98 0.   0.02 0.   0.  ],1.0328993985735611e-19,-0.05344827586206896
[0.98 0.   0.   0.   0.02],1.154855638742447e-06,0.01896551724137932
[0.96 0.   0.04 0.   0.  ],2.272256090018543e-19,-0.05344827586206896
[0.96 0.   0.02 0.   0.02],1.3600613921880723e-06,0.06724137931034482
[0.96 0.   0.   0.   0.04],2.394406497478485e-06,0.06724137931034482
[0.94 0.   0.06 0.   0.  ],4.284705152257564e-19,-0.05344827586206896
[0.94 0.   0.04 0.   0.02],1.1431042104959487e-06,0.06724137931034482
[0.94 0.   0.02 0.   0.04],2.1025918424129487e-06,0.06724137931034482
[0.94 0.   0.   0.   0.06],3.148862347006798e-06,0.06724137931034482
[0.92 0.   0.08 0.   0.  ],5.65288062602423e-19,-0.05344827586206896
[0.92 0.   0.06 0.   0.02],1.3363337144255639e-06,0.06724137931034482
[0.92 0.   0.04 0.   0.04],2.0627167075872423e-06,0.06724137931034482
[0.92 0.   0.02 0.   0.06],2.7190560474991797e-06,0.06724137931034482
[0.92 0.   0.   0.   0.08],3.6669634282588957e-06,0.06724137931034482
[0.9 0.  0.1 0.  0. ],7.424930726404166e-19,-0.05344827586206896
[0.9  0.   0.08 0.   0.02],1.2071294710040093e-06,0.06724137931034482
[0.9  0.   0.06 0.   0.04],1.8501363694667816e-06,0.06724137931034482
[0.9  0.   0.04 0.   0.06],2.817317098379135e-06,0.06724137931034482
[0.9  0.   0.02 0.   0.08],3.5360194742679595e-06,0.06724137931034482
[0.9 0.  0.  0.  0.1],3.825316205620766e-06,0.06724137931034482
[0.88 0.   0.12 0.   0.  ],8.874516654313811e-19,-0.05344827586206896
[0.88 0.   0.1  0.   0.02],1.0195448063313962e-06,0.06724137931034482
[0.88 0.   0.08 0.   0.04],2.0857870578765867e-06,0.06724137931034482
[0.88 0.   0.06 0.   0.06],2.7324790135025977e-06,0.06724137931034482
[0.88 0.   0.04 0.   0.08],3.244718536734581e-06,0.06724137931034482
[0.88 0.   0.02 0.   0.1 ],3.6789465695619584e-06,0.06724137931034482
[0.88 0.   0.   0.   0.12],4.626680165529251e-06,0.06724137931034482
[0.86 0.   0.14 0.   0.  ],1.0896961975879853e-18,-0.05344827586206896
[0.86 0.   0.12 0.   0.02],1.2164751067757607e-06,0.05517241379310345
[0.86 0.   0.1  0.   0.04],1.8437841907143593e-06,0.06724137931034482
[0.86 0.   0.08 0.   0.06],2.800956554710865e-06,0.06724137931034482
[0.86 0.   0.06 0.   0.08],2.9281228780746458e-06,0.06724137931034482
[0.86 0.   0.04 0.   0.1 ],3.619442880153656e-06,0.06724137931034482
[0.86 0.   0.02 0.   0.12],4.135067388415337e-06,0.06724137931034482
[0.86 0.   0.   0.   0.14],4.45413775742054e-06,0.0793103448275862
[0.84 0.   0.16 0.   0.  ],1.2396844720197457e-18,-0.05344827586206896
[0.84 0.   0.14 0.   0.02],9.430170059204101e-07,0.06724137931034482
[0.84 0.   0.12 0.   0.04],2.0686279982328414e-06,0.06724137931034482
[0.84 0.   0.1  0.   0.06],2.622563950717449e-06,0.06724137931034482
[0.84 0.   0.08 0.   0.08],3.0815498903393747e-06,0.06724137931034482
[0.84 0.   0.06 0.   0.1 ],3.2076235860586166e-06,0.06724137931034482
[0.84 0.   0.04 0.   0.12],3.653201460838318e-06,0.06724137931034482
[0.84 0.   0.02 0.   0.14],4.273268580436707e-06,0.0793103448275862
[0.84 0.   0.   0.   0.16],4.821306467056274e-06,0.0793103448275862
[0.82 0.   0.18 0.   0.  ],1.375375677334801e-18,-0.05344827586206896
[0.82 0.   0.16 0.   0.02],9.62948240339756e-07,0.06724137931034482
[0.82 0.   0.14 0.   0.04],1.5853378921747208e-06,0.06724137931034482
[0.82 0.   0.12 0.   0.06],2.553989738225937e-06,0.06724137931034482
[0.82 0.   0.1  0.   0.08],3.0759427696466445e-06,0.06724137931034482
[0.82 0.   0.08 0.   0.1 ],3.4381933510303497e-06,0.06724137931034482
[0.82 0.   0.06 0.   0.12],3.4541431814432146e-06,0.06724137931034482
[0.82 0.   0.04 0.   0.14],3.972654789686203e-06,0.06724137931034482
[0.82 0.   0.02 0.   0.16],4.3528713285923e-06,0.0793103448275862
[0.82 0.   0.   0.   0.18],4.469484835863113e-06,0.0793103448275862
[0.8 0.  0.2 0.  0. ],1.5275551412978135e-18,-0.05344827586206896
[0.8  0.   0.18 0.   0.02],9.285645559430122e-07,0.06724137931034482
[0.8  0.   0.16 0.   0.04],1.6931992024183273e-06,0.06724137931034482
[0.8  0.   0.14 0.   0.06],2.4298233911395074e-06,0.06724137931034482
[0.8  0.   0.12 0.   0.08],2.8484266251325607e-06,0.06724137931034482
[0.8 0.  0.1 0.  0.1],3.2212402671575547e-06,0.06724137931034482
[0.8  0.   0.08 0.   0.12],3.7539556622505187e-06,0.06724137931034482
[0.8  0.   0.06 0.   0.14],3.6262892186641695e-06,0.06724137931034482
[0.8  0.   0.04 0.   0.16],3.996319323778152e-06,0.06724137931034482
