Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,adsorb,0.15208949148654938,-0.15208949148654938,-1.0,0,28,ads_hol,0.012570858001708984
H,adsorb,0.3627120554447174,-0.3627120554447174,-1.0,0,29,ads_hol,0.012609004974365234
H,adsorb,0.42458516359329224,-0.42458516359329224,-1.0,0,30,ads_hol,0.012644052505493164
H,adsorb,0.43111294507980347,-0.43111294507980347,-1.0,0,31,ads_hol,0.012678861618041992
H,adsorb,0.2219376564025879,-0.2219376564025879,-1.0,0,32,ads_hol,0.012713909149169922
H,adsorb,0.03225987032055855,-0.03225987032055855,-1.0,0,33,ads_hol,0.012778997421264648
H,adsorb,0.03695628046989441,-0.03695628046989441,-1.0,0,34,ads_hol,0.012820959091186523
H,adsorb,0.08040862530469894,-0.08040862530469894,-1.0,0,35,ads_hol,0.012857913970947266
H,adsorb,-0.133511021733284,0.133511021733284,-1.0,0,36,ads_hol,0.012892961502075195
H,adsorb,-0.0691385418176651,0.0691385418176651,-1.0,0,37,ads_hol,0.012927055358886719
H,adsorb,0.16888627409934998,-0.16888627409934998,-1.0,0,38,ads_hol,0.012962102890014648
H,adsorb,-0.12814386188983917,0.12814386188983917,-1.0,0,39,ads_hol,0.01299595832824707
H,adsorb,0.036000512540340424,-0.036000512540340424,-1.0,0,40,ads_hol,0.013029813766479492
H,adsorb,0.3118339478969574,-0.3118339478969574,-1.0,0,41,ads_hol,0.013063907623291016
H,adsorb,0.2248997539281845,-0.2248997539281845,-1.0,0,42,ads_hol,0.013096809387207031
H,adsorb,-0.23643635213375092,0.23643635213375092,-1.0,0,43,ads_hol,0.013130903244018555
H,adsorb,-0.13708794116973877,0.13708794116973877,-1.0,0,44,ads_hol,0.013164997100830078
H,adsorb,0.13099819421768188,-0.13099819421768188,-1.0,0,45,ads_hol,0.013244867324829102
H,adsorb,-0.14314576983451843,0.14314576983451843,-1.0,0,46,ads_hol,0.013286828994750977
H,adsorb,0.31491199135780334,-0.31491199135780334,-1.0,0,47,ads_hol,0.013354063034057617
H,adsorb,0.1877537965774536,-0.1877537965774536,-1.0,0,48,ads_hol,0.01339101791381836
H,adsorb,0.10353013873100281,-0.10353013873100281,-1.0,0,49,ads_hol,0.013427972793579102
H,adsorb,0.34362977743148804,-0.34362977743148804,-1.0,0,50,ads_hol,0.013463973999023438
H,adsorb,0.4001244306564331,-0.4001244306564331,-1.0,0,51,ads_hol,0.013498783111572266
H,adsorb,0.16210991144180298,-0.16210991144180298,-1.0,0,52,ads_hol,0.013535022735595703
H,adsorb,0.03153679147362709,-0.03153679147362709,-1.0,0,53,ads_hol,0.013570070266723633
H,adsorb,0.011793685145676136,-0.011793685145676136,-1.0,0,54,ads_hol,0.013604879379272461
H,adsorb,-0.13730202615261078,0.13730202615261078,-1.0,0,55,ads_hol,0.01363992691040039
H,adsorb,0.009951826184988022,-0.009951826184988022,-1.0,0,56,ads_hol,0.01367497444152832
H,adsorb,0.4949187934398651,-0.4949187934398651,-1.0,0,57,ads_hol,0.013710975646972656
H,adsorb,0.43722301721572876,-0.43722301721572876,-1.0,0,58,ads_hol,0.013745784759521484
H,adsorb,-0.03360523283481598,0.03360523283481598,-1.0,0,59,ads_hol,0.013782978057861328
H,adsorb,0.037390343844890594,-0.037390343844890594,-1.0,0,60,ads_hol,0.013817787170410156
H,adsorb,0.18782784044742584,-0.18782784044742584,-1.0,0,61,ads_hol,0.01385498046875
H,adsorb,0.07656983286142349,-0.07656983286142349,-1.0,0,62,ads_hol,0.013890981674194336
H,adsorb,-0.009991860017180443,0.009991860017180443,-1.0,0,63,ads_hol,0.013926982879638672
H,adsorb,-0.16800756752490997,0.16800756752490997,-1.0,0,64,ads_hol,0.013962030410766602
H,adsorb,0.052401769906282425,-0.052401769906282425,-1.0,0,65,ads_hol,0.013997077941894531
H,adsorb,0.5344424247741699,-0.5344424247741699,-1.0,0,66,ads_hol,0.014085769653320312
H,adsorb,0.48093199729919434,-0.48093199729919434,-1.0,0,67,ads_hol,0.014132022857666016
H,adsorb,0.05177878960967064,-0.05177878960967064,-1.0,0,68,ads_hol,0.014172792434692383
H,adsorb,0.11312369257211685,-0.11312369257211685,-1.0,0,69,ads_hol,0.01421213150024414
H,adsorb,0.030456550419330597,-0.030456550419330597,-1.0,0,70,ads_hol,0.014250040054321289
H,adsorb,0.2873927056789398,-0.2873927056789398,-1.0,0,71,ads_hol,0.01428985595703125
H,adsorb,0.1570698618888855,-0.1570698618888855,-1.0,0,72,ads_hol,0.014327049255371094
H,adsorb,0.032503724098205566,-0.032503724098205566,-1.0,0,73,ads_hol,0.014364957809448242
H,adsorb,0.0815444067120552,-0.0815444067120552,-1.0,0,74,ads_hol,0.014405965805053711
