Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,desorption,0.13233035802841187,-0.13233035802841187,-0.12952646239554316,33,93,ads_hol,1.2276270389556885
H,desorption,0.1323218047618866,-0.1323218047618866,-0.12952646239554316,35,40,ads_hol,1.2279939651489258
H,desorption,0.13206329941749573,-0.13206329941749573,-0.12952646239554316,39,8,ads_hol,1.2288732528686523
H,desorption,0.13191139698028564,-0.13191139698028564,-0.12952646239554316,39,74,ads_hol,1.2290589809417725
H,desorption,0.13040345907211304,-0.13040345907211304,-0.12952646239554316,40,1,ads_hol,1.2291491031646729
H,desorption,0.13408787548542023,-0.13408787548542023,-0.12952646239554316,41,32,ads_hol,1.2294812202453613
H,desorption,0.1339384913444519,-0.1339384913444519,-0.12952646239554316,42,10,ads_hol,1.2296969890594482
H,desorption,0.12993140518665314,-0.12993140518665314,-0.12952646239554316,43,65,ads_hol,1.230098009109497
H,desorption,0.1333875209093094,-0.1333875209093094,-0.12952646239554316,45,28,ads_hol,1.230517864227295
H,desorption,0.13210180401802063,-0.13210180401802063,-0.12952646239554316,46,14,ads_hol,1.230755090713501
H,desorption,0.1340816617012024,-0.1340816617012024,-0.12952646239554316,50,12,ads_hol,1.2317171096801758
H,desorption,0.1331177055835724,-0.1331177055835724,-0.12952646239554316,50,33,ads_hol,1.2318041324615479
H,desorption,0.1331593543291092,-0.1331593543291092,-0.12952646239554316,52,3,ads_hol,1.232227087020874
H,desorption,0.13084959983825684,-0.13084959983825684,-0.12952646239554316,52,51,ads_hol,1.2323691844940186
H,desorption,0.1302138864994049,-0.1302138864994049,-0.12952646239554316,54,38,ads_hol,1.2328290939331055
H,desorption,0.1307014524936676,-0.1307014524936676,-0.12952646239554316,56,18,ads_hol,1.233280897140503
H,desorption,0.1299266219139099,-0.1299266219139099,-0.12952646239554316,57,94,ads_hol,1.2337169647216797
H,desorption,0.13204708695411682,-0.13204708695411682,-0.12952646239554316,58,57,ads_hol,1.2338900566101074
H,desorption,0.13415345549583435,-0.13415345549583435,-0.12952646239554316,61,89,ads_hol,1.2346899509429932
H,desorption,0.13220170140266418,-0.13220170140266418,-0.12952646239554316,63,97,ads_hol,1.2352230548858643
H,desorption,0.12977437674999237,-0.12977437674999237,-0.12952646239554316,64,4,ads_hol,1.2352721691131592
H,desorption,0.13195398449897766,-0.13195398449897766,-0.12952646239554316,64,91,ads_hol,1.235504150390625
H,desorption,0.1309385895729065,-0.1309385895729065,-0.12952646239554316,65,89,ads_hol,1.2357630729675293
H,desorption,0.13324494659900665,-0.13324494659900665,-0.12952646239554316,66,32,ads_hol,1.235889196395874
H,desorption,0.13165676593780518,-0.13165676593780518,-0.12952646239554316,67,20,ads_hol,1.2361199855804443
H,desorption,0.13080082833766937,-0.13080082833766937,-0.12952646239554316,68,1,ads_hol,1.2363371849060059
H,desorption,0.1302480548620224,-0.1302480548620224,-0.12952646239554316,73,47,ads_hol,1.2376081943511963
H,desorption,0.1329280138015747,-0.1329280138015747,-0.12952646239554316,75,32,ads_hol,1.2380640506744385
H,desorption,0.13176746666431427,-0.13176746666431427,-0.12952646239554316,76,94,ads_hol,1.238473892211914
H,desorption,0.13408397138118744,-0.13408397138118744,-0.12952646239554316,77,6,ads_hol,1.238529920578003
H,desorption,0.13013416528701782,-0.13013416528701782,-0.12952646239554316,79,22,ads_hol,1.23905611038208
H,desorption,0.13108178973197937,-0.13108178973197937,-0.12952646239554316,80,61,ads_hol,1.239414930343628
H,desorption,0.13262373208999634,-0.13262373208999634,-0.12952646239554316,80,75,ads_hol,1.2394769191741943
H,desorption,0.13204416632652283,-0.13204416632652283,-0.12952646239554316,81,92,ads_hol,1.239774227142334
H,desorption,0.12999869883060455,-0.12999869883060455,-0.12952646239554316,82,53,ads_hol,1.239941120147705
H,desorption,0.1337314248085022,-0.1337314248085022,-0.12952646239554316,82,90,ads_hol,1.2400538921356201
H,desorption,0.13011197745800018,-0.13011197745800018,-0.12952646239554316,84,15,ads_hol,1.2403759956359863
H,desorption,0.13356731832027435,-0.13356731832027435,-0.12952646239554316,84,45,ads_hol,1.2404770851135254
H,desorption,0.12997514009475708,-0.12997514009475708,-0.12952646239554316,85,67,ads_hol,1.240788221359253
H,desorption,0.1296849548816681,-0.1296849548816681,-0.12952646239554316,87,16,ads_hol,1.2411980628967285
H,desorption,0.13221591711044312,-0.13221591711044312,-0.12952646239554316,88,48,ads_hol,1.2415368556976318
H,desorption,0.1300203651189804,-0.1300203651189804,-0.12952646239554316,90,28,ads_hol,1.2419800758361816
H,desorption,0.13270018994808197,-0.13270018994808197,-0.12952646239554316,90,67,ads_hol,1.2421009540557861
H,desorption,0.13043107092380524,-0.13043107092380524,-0.12952646239554316,91,27,ads_hol,1.24226713180542
H,desorption,0.13206729292869568,-0.13206729292869568,-0.12952646239554316,91,92,ads_hol,1.242445945739746
H,desorption,0.1304665207862854,-0.1304665207862854,-0.12952646239554316,95,17,ads_hol,1.2432169914245605
H,desorption,0.1321360319852829,-0.1321360319852829,-0.12952646239554316,98,8,ads_hol,1.243920087814331
H,desorption,0.1343115121126175,-0.1343115121126175,-0.12952646239554316,99,49,ads_hol,1.2442800998687744
H,desorption,0.12858669459819794,-0.12858669459819794,-0.12451253481894148,7,78,ads_hol,1.2495851516723633
H,desorption,0.1284865140914917,-0.1284865140914917,-0.12451253481894148,8,85,ads_hol,1.249873161315918
H,desorption,0.1286739557981491,-0.1286739557981491,-0.12451253481894148,10,32,ads_hol,1.2502429485321045
H,desorption,0.12793585658073425,-0.12793585658073425,-0.12451253481894148,11,88,ads_hol,1.250633955001831
H,desorption,0.12543177604675293,-0.12543177604675293,-0.12451253481894148,13,11,ads_hol,1.250946044921875
H,desorption,0.12462678551673889,-0.12462678551673889,-0.12451253481894148,16,41,ads_hol,1.2517321109771729
H,desorption,0.126212477684021,-0.126212477684021,-0.12451253481894148,18,96,ads_hol,1.252345085144043
H,desorption,0.12906895577907562,-0.12906895577907562,-0.12451253481894148,19,12,ads_hol,1.2524099349975586
H,desorption,0.12926653027534485,-0.12926653027534485,-0.12451253481894148,20,12,ads_hol,1.2526719570159912
H,desorption,0.12541259825229645,-0.12541259825229645,-0.12451253481894148,21,51,ads_hol,1.2530221939086914
H,desorption,0.12556403875350952,-0.12556403875350952,-0.12451253481894148,22,43,ads_hol,1.2532639503479004
H,desorption,0.12575025856494904,-0.12575025856494904,-0.12451253481894148,27,83,ads_hol,1.2545361518859863
H,desorption,0.12566600739955902,-0.12566600739955902,-0.12451253481894148,28,22,ads_hol,1.2546629905700684
H,desorption,0.12754151225090027,-0.12754151225090027,-0.12451253481894148,32,24,ads_hol,1.2556169033050537
H,desorption,0.12470439076423645,-0.12470439076423645,-0.12451253481894148,33,10,ads_hol,1.255845069885254
H,desorption,0.12525375187397003,-0.12525375187397003,-0.12451253481894148,33,72,ads_hol,1.2560181617736816
H,desorption,0.1263931393623352,-0.1263931393623352,-0.12451253481894148,35,56,ads_hol,1.256472110748291
H,desorption,0.1270352303981781,-0.1270352303981781,-0.12451253481894148,35,73,ads_hol,1.2565422058105469
H,desorption,0.12869682908058167,-0.12869682908058167,-0.12451253481894148,36,13,ads_hol,1.2566630840301514
H,desorption,0.12768439948558807,-0.12768439948558807,-0.12451253481894148,39,37,ads_hol,1.2574360370635986
H,desorption,0.12876586616039276,-0.12876586616039276,-0.12451253481894148,39,51,ads_hol,1.2574989795684814
H,desorption,0.12548895180225372,-0.12548895180225372,-0.12451253481894148,39,85,ads_hol,1.25760817527771
H,desorption,0.12511737644672394,-0.12511737644672394,-0.12451253481894148,40,17,ads_hol,1.2577099800109863
H,desorption,0.12453391402959824,-0.12453391402959824,-0.12451253481894148,44,37,ads_hol,1.2587099075317383
H,desorption,0.12914994359016418,-0.12914994359016418,-0.12451253481894148,44,74,ads_hol,1.258824110031128
H,desorption,0.1271294802427292,-0.1271294802427292,-0.12451253481894148,47,33,ads_hol,1.2594480514526367
H,desorption,0.1288149356842041,-0.1288149356842041,-0.12451253481894148,48,26,ads_hol,1.2596971988677979
H,desorption,0.12789221107959747,-0.12789221107959747,-0.12451253481894148,48,28,ads_hol,1.2597322463989258
H,desorption,0.12502741813659668,-0.12502741813659668,-0.12451253481894148,50,27,ads_hol,1.260227918624878
H,desorption,0.12607893347740173,-0.12607893347740173,-0.12451253481894148,50,93,ads_hol,1.2604188919067383
H,desorption,0.1253148317337036,-0.1253148317337036,-0.12451253481894148,51,20,ads_hol,1.260511875152588
H,desorption,0.12570881843566895,-0.12570881843566895,-0.12451253481894148,51,56,ads_hol,1.2606241703033447
H,desorption,0.1290786862373352,-0.1290786862373352,-0.12451253481894148,53,83,ads_hol,1.2611761093139648
H,desorption,0.12862472236156464,-0.12862472236156464,-0.12451253481894148,54,64,ads_hol,1.2613978385925293
H,desorption,0.1279924213886261,-0.1279924213886261,-0.12451253481894148,54,93,ads_hol,1.261497974395752
H,desorption,0.12502865493297577,-0.12502865493297577,-0.12451253481894148,56,65,ads_hol,1.2619218826293945
H,desorption,0.1251581609249115,-0.1251581609249115,-0.12451253481894148,58,61,ads_hol,1.2624051570892334
H,desorption,0.12820471823215485,-0.12820471823215485,-0.12451253481894148,64,49,ads_hol,1.2637832164764404
H,desorption,0.12471342086791992,-0.12471342086791992,-0.12451253481894148,68,26,ads_hol,1.2646830081939697
H,desorption,0.1282615214586258,-0.1282615214586258,-0.12451253481894148,69,51,ads_hol,1.2650048732757568
H,desorption,0.12734869122505188,-0.12734869122505188,-0.12451253481894148,70,11,ads_hol,1.26517915725708
H,desorption,0.12659303843975067,-0.12659303843975067,-0.12451253481894148,75,15,ads_hol,1.2663590908050537
H,desorption,0.12593905627727509,-0.12593905627727509,-0.12451253481894148,79,98,ads_hol,1.2674951553344727
H,desorption,0.1253090500831604,-0.1253090500831604,-0.12451253481894148,80,45,ads_hol,1.2676331996917725
H,desorption,0.12512369453907013,-0.12512369453907013,-0.12451253481894148,81,61,ads_hol,1.2679321765899658
H,desorption,0.1262712925672531,-0.1262712925672531,-0.12451253481894148,81,90,ads_hol,1.2680270671844482
H,desorption,0.12797287106513977,-0.12797287106513977,-0.12451253481894148,85,77,ads_hol,1.2689509391784668
H,desorption,0.1272035539150238,-0.1272035539150238,-0.12451253481894148,86,17,ads_hol,1.2690799236297607
H,desorption,0.12479725480079651,-0.12479725480079651,-0.12451253481894148,87,63,ads_hol,1.2694449424743652
H,desorption,0.1244882345199585,-0.1244882345199585,-0.11949860724233982,0,2,ads_hol,1.2756352424621582
H,desorption,0.12109126150608063,-0.12109126150608063,-0.11949860724233982,0,33,ads_hol,1.275744915008545
H,desorption,0.12264637649059296,-0.12264637649059296,-0.11949860724233982,1,90,ads_hol,1.2761390209197998
H,desorption,0.12078206986188889,-0.12078206986188889,-0.11949860724233982,5,86,ads_hol,1.27708101272583
H,desorption,0.11951074749231339,-0.11951074749231339,-0.11949860724233982,7,62,ads_hol,1.2775201797485352
