Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,adsorb,0.10916278511285782,-0.10916278511285782,-1.0,0,0,ads_hol,0.008877992630004883
H,adsorb,0.39315155148506165,-0.39315155148506165,-1.0,0,1,ads_hol,0.009943962097167969
H,adsorb,0.3795771300792694,-0.3795771300792694,-1.0,0,2,ads_hol,0.010149955749511719
H,adsorb,0.48010730743408203,-0.48010730743408203,-1.0,0,3,ads_hol,0.010365962982177734
H,adsorb,0.13222594559192657,-0.13222594559192657,-1.0,0,4,ads_hol,0.010566949844360352
H,adsorb,0.4727838933467865,-0.4727838933467865,-1.0,0,5,ads_hol,0.01081705093383789
H,adsorb,-0.0880870372056961,0.0880870372056961,-1.0,0,6,ads_hol,0.011110067367553711
H,adsorb,-0.050753507763147354,0.050753507763147354,-1.0,0,7,ads_hol,0.011230945587158203
H,adsorb,0.18607363104820251,-0.18607363104820251,-1.0,0,8,ads_hol,0.011288881301879883
H,adsorb,0.20127780735492706,-0.20127780735492706,-1.0,0,9,ads_hol,0.011334896087646484
H,adsorb,0.339160293340683,-0.339160293340683,-1.0,0,10,ads_hol,0.011374950408935547
H,adsorb,0.2163860946893692,-0.2163860946893692,-1.0,0,11,ads_hol,0.01141500473022461
H,adsorb,0.1875220686197281,-0.1875220686197281,-1.0,0,12,ads_hol,0.011451959609985352
H,adsorb,0.009750264696776867,-0.009750264696776867,-1.0,0,13,ads_hol,0.011489152908325195
H,adsorb,-0.06146589294075966,0.06146589294075966,-1.0,0,14,ads_hol,0.01152491569519043
H,adsorb,0.04840626195073128,-0.04840626195073128,-1.0,0,15,ads_hol,0.01155996322631836
H,adsorb,-0.15700803697109222,0.15700803697109222,-1.0,0,16,ads_hol,0.011595010757446289
H,adsorb,-0.07991008460521698,0.07991008460521698,-1.0,0,17,ads_hol,0.011629819869995117
H,adsorb,0.12533068656921387,-0.12533068656921387,-1.0,0,18,ads_hol,0.011664867401123047
H,adsorb,0.44012919068336487,-0.44012919068336487,-1.0,0,19,ads_hol,0.01169896125793457
H,adsorb,0.3579619824886322,-0.3579619824886322,-1.0,0,20,ads_hol,0.011733055114746094
H,adsorb,-0.020786350592970848,0.020786350592970848,-1.0,0,21,ads_hol,0.011767864227294922
H,adsorb,-0.021429143846035004,0.021429143846035004,-1.0,0,22,ads_hol,0.011801958084106445
H,adsorb,0.5108543038368225,-0.5108543038368225,-1.0,0,23,ads_hol,0.011836051940917969
H,adsorb,0.5111225247383118,-0.5111225247383118,-1.0,0,24,ads_hol,0.01186990737915039
H,adsorb,0.0914793312549591,-0.0914793312549591,-1.0,0,25,ads_hol,0.011903047561645508
H,adsorb,-0.0440075658261776,0.0440075658261776,-1.0,0,26,ads_hol,0.011937141418457031
H,adsorb,0.39977124333381653,-0.39977124333381653,-1.0,0,27,ads_hol,0.011970043182373047
H,adsorb,0.01468640472739935,-0.01468640472739935,-1.0,0,28,ads_hol,0.012003898620605469
H,adsorb,0.567933976650238,-0.567933976650238,-1.0,0,29,ads_hol,0.012037038803100586
H,adsorb,0.49252617359161377,-0.49252617359161377,-1.0,0,30,ads_hol,0.012069940567016602
H,adsorb,0.060462672263383865,-0.060462672263383865,-1.0,0,31,ads_hol,0.012104034423828125
H,adsorb,0.15684747695922852,-0.15684747695922852,-1.0,0,32,ads_hol,0.012138128280639648
H,adsorb,-0.01935478486120701,0.01935478486120701,-1.0,0,33,ads_hol,0.012171030044555664
H,adsorb,-0.09263390302658081,0.09263390302658081,-1.0,0,34,ads_hol,0.012204885482788086
H,adsorb,-0.12007316201925278,0.12007316201925278,-1.0,0,35,ads_hol,0.012240886688232422
H,adsorb,0.1803441047668457,-0.1803441047668457,-1.0,0,36,ads_hol,0.012273073196411133
H,adsorb,0.051148395985364914,-0.051148395985364914,-1.0,0,37,ads_hol,0.012305974960327148
H,adsorb,-0.17916938662528992,0.17916938662528992,-1.0,0,38,ads_hol,0.012339115142822266
H,adsorb,0.4917207360267639,-0.4917207360267639,-1.0,0,39,ads_hol,0.012371063232421875
H,adsorb,0.49937722086906433,-0.49937722086906433,-1.0,0,40,ads_hol,0.012405157089233398
H,adsorb,0.40975290536880493,-0.40975290536880493,-1.0,0,41,ads_hol,0.012438058853149414
H,adsorb,0.30515819787979126,-0.30515819787979126,-1.0,0,42,ads_hol,0.012471199035644531
H,adsorb,0.1012468934059143,-0.1012468934059143,-1.0,0,43,ads_hol,0.012503862380981445
H,adsorb,0.39690324664115906,-0.39690324664115906,-1.0,0,44,ads_hol,0.012537956237792969
H,adsorb,-0.007162290625274181,0.007162290625274181,-1.0,0,45,ads_hol,0.012618064880371094
H,adsorb,0.2923354506492615,-0.2923354506492615,-1.0,0,46,ads_hol,0.012657880783081055
H,adsorb,-0.15876731276512146,0.15876731276512146,-1.0,0,47,ads_hol,0.012840986251831055
H,adsorb,-0.11580651998519897,0.11580651998519897,-1.0,0,48,ads_hol,0.012968063354492188
H,adsorb,-0.05194113031029701,0.05194113031029701,-1.0,0,49,ads_hol,0.013089179992675781
H,adsorb,-0.024797197431325912,0.024797197431325912,-1.0,0,50,ads_hol,0.013206005096435547
H,adsorb,-0.1340828388929367,0.1340828388929367,-1.0,0,51,ads_hol,0.01332402229309082
H,adsorb,-0.13688033819198608,0.13688033819198608,-1.0,0,52,ads_hol,0.013437986373901367
H,adsorb,0.2564004361629486,-0.2564004361629486,-1.0,0,53,ads_hol,0.013599157333374023
H,adsorb,0.45280078053474426,-0.45280078053474426,-1.0,0,54,ads_hol,0.013773202896118164
