feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,COOH_C_adsorbed_out.dbrow
0,0,0,1,0,0,1,3,0,2,0,1,1,1,0,0,0,1,1,1,0.427589,7,63
0,1,0,0,0,1,0,1,3,1,2,0,1,0,0,3,0,0,0,0,1.034106,8,64
0,0,0,0,1,1,2,1,2,0,2,1,0,0,0,1,1,0,0,1,0.018173,8,65
0,0,1,0,0,0,2,0,3,1,2,0,1,0,0,1,1,0,0,1,1.109365,8,66
0,0,0,1,0,0,2,0,3,1,1,1,1,0,0,1,0,1,1,0,0.501631,8,67
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.417311,8,68
0,0,0,1,0,1,2,1,2,0,2,0,0,0,1,1,0,1,1,0,0.487897,8,69
0,0,0,1,0,1,2,1,2,0,1,0,2,0,0,1,1,0,1,0,0.636617,8,70
1,0,0,0,0,0,2,0,3,1,2,0,0,0,1,1,1,0,1,0,1.356662,8,71
0,1,0,0,0,1,0,1,3,1,1,0,1,0,1,0,2,1,0,0,0.797229,8,72
0,0,0,1,0,1,0,2,2,1,0,1,1,1,0,0,0,1,0,2,0.270864,9,73
0,0,1,0,0,1,0,1,4,0,0,2,0,1,0,0,0,1,0,2,0.791150,9,74
0,0,0,1,0,2,0,1,2,1,0,0,0,2,1,0,0,0,0,3,0.326887,9,75
0,0,1,0,0,2,0,1,2,1,0,1,1,0,1,0,1,1,0,1,0.803596,9,76
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.336446,9,77
0,0,0,0,1,1,0,1,4,0,0,0,1,0,2,0,1,1,0,1,-0.165677,9,78
1,0,0,0,0,1,0,1,4,0,0,0,1,1,1,0,0,0,0,3,1.101616,9,79
0,0,0,1,0,2,0,1,2,1,0,1,1,0,1,0,0,1,0,2,0.272653,9,80
1,0,0,0,0,1,0,2,2,1,0,0,0,1,2,0,1,0,0,2,1.137544,9,81
0,0,0,0,1,2,1,1,1,1,1,1,0,0,1,0,2,1,0,0,-0.092177,10,82
0,0,1,0,0,1,0,0,2,3,0,2,0,1,0,0,1,1,1,0,0.998008,10,83
1,0,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,1,1,0,1.317832,10,84
0,0,0,1,0,1,1,1,1,2,0,0,0,2,1,0,3,0,0,0,0.420855,10,85
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.074506,10,86
1,0,0,0,0,1,0,0,2,3,0,1,1,0,1,0,1,1,0,1,1.272085,10,87
0,1,0,0,0,1,0,0,2,3,2,0,0,1,0,0,3,0,0,0,0.954697,10,88
0,0,0,0,1,1,1,1,1,2,1,2,0,0,0,0,1,1,0,1,-0.070760,10,89
0,0,0,1,0,2,1,1,1,1,0,2,0,1,0,0,2,1,0,0,0.411735,10,90
0,0,0,0,1,2,1,1,2,0,0,0,2,0,1,2,0,1,0,0,-0.020980,11,91
0,0,0,1,0,1,1,1,1,2,1,0,2,0,0,2,0,0,1,0,0.517947,11,92
0,0,1,0,0,1,2,0,1,2,2,0,0,0,1,2,0,0,0,1,0.977636,11,93
1,0,0,0,0,1,2,0,1,2,0,0,2,0,1,1,0,0,0,2,1.260471,11,94
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.008760,11,95
0,1,0,0,0,1,1,1,1,2,1,1,1,0,0,1,1,0,0,1,0.980164,11,96
1,0,0,0,0,1,1,1,1,2,0,0,1,0,2,0,0,1,0,2,1.180171,11,97
0,0,0,1,0,1,2,0,1,2,0,1,2,0,0,0,1,1,1,0,0.501649,11,98
0,0,0,0,1,2,1,1,2,0,1,1,0,0,1,0,0,0,1,2,-0.002564,11,99
0,0,0,1,0,4,0,0,1,1,0,0,2,0,1,1,0,0,2,0,0.241218,12,100
1,0,0,0,0,2,0,0,2,2,0,0,0,0,3,0,0,0,2,1,1.066230,12,101
1,0,0,0,0,4,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1.018871,12,102
0,0,0,1,0,4,0,0,1,1,0,0,1,0,2,1,0,0,2,0,0.298944,12,103
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.166986,12,104
1,0,0,0,0,2,0,0,2,2,0,1,1,1,0,2,1,0,0,0,1.085912,12,105
1,0,0,0,0,2,0,0,2,2,0,0,1,0,2,0,0,0,3,0,1.134454,12,106
0,0,0,0,1,4,0,0,1,1,0,0,0,1,2,0,1,0,2,0,-0.225463,12,107
1,0,0,0,0,4,0,0,1,1,0,0,0,1,2,1,0,0,2,0,1.076937,12,108
0,0,1,0,0,1,1,1,2,1,1,1,0,0,1,0,1,0,1,1,0.963444,13,109
0,0,0,0,1,2,0,3,1,0,1,1,0,0,1,0,1,0,1,1,-0.164951,13,110
0,0,1,0,0,1,1,2,1,1,0,2,0,1,0,0,2,1,0,0,0.850098,13,111
0,0,0,1,0,1,1,2,1,1,3,0,0,0,0,0,1,1,0,1,0.407561,13,112
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.222534,13,113
0,0,0,1,0,2,0,3,1,0,1,0,0,1,1,0,2,1,0,0,0.296627,13,114
0,1,0,0,0,2,0,3,1,0,1,1,0,1,0,0,0,2,1,0,0.764544,13,115
1,0,0,0,0,1,1,2,1,1,0,0,0,1,2,0,0,1,2,0,1.202180,13,116
