feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
1,0,0,0,0,0,0,2,0,4,1,1,0,1,0,0,3,0,0,0,2.147300,110,16
0,0,0,0,1,0,2,2,2,0,1,0,0,0,2,0,0,0,3,0,1.107443,111,47
0,0,0,1,0,4,0,0,2,0,0,1,0,1,1,0,0,3,0,0,1.161041,113,69
0,1,0,0,0,2,0,0,2,2,2,0,1,0,0,0,0,0,3,0,2.020674,114,36
0,0,0,1,0,2,0,0,4,0,0,1,1,1,0,3,0,0,0,0,1.363325,115,25
0,0,0,1,0,2,4,0,0,0,0,1,1,0,1,0,0,3,0,0,1.426289,116,50
0,0,0,1,0,0,4,2,0,0,2,0,1,0,0,0,0,0,0,3,1.600607,117,12
0,0,0,1,0,0,2,0,0,4,0,0,0,3,0,0,0,0,3,0,1.586379,119,13
0,0,1,0,0,0,0,0,6,0,1,1,0,0,1,0,3,0,0,0,1.398007,120,17
0,1,0,0,0,0,0,2,0,4,0,0,2,1,0,0,0,0,3,0,2.081234,122,19
1,0,0,0,0,0,4,0,2,0,1,0,1,1,0,0,3,0,0,0,1.924818,123,46
1,0,0,0,0,0,0,2,0,4,0,0,0,1,2,3,0,0,0,0,2.039868,124,14
1,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,3,0,0,0,1.601644,125,31
1,0,0,0,0,0,0,0,2,4,1,0,2,0,0,3,0,0,0,0,2.215228,127,51
0,1,0,0,0,0,2,0,2,2,2,1,0,0,0,0,0,0,0,3,2.084890,130,62
0,0,0,1,0,0,0,4,2,0,0,0,2,1,0,0,0,0,3,0,1.371913,131,18
1,0,0,0,0,4,0,0,2,0,2,0,1,0,0,0,0,0,0,3,1.656147,133,39
0,0,1,0,0,0,4,0,2,0,1,1,1,0,0,3,0,0,0,0,1.391446,134,22
0,0,1,0,0,0,4,0,2,0,1,0,0,1,1,0,0,0,0,3,1.398696,135,37
1,0,0,0,0,0,4,0,0,2,1,1,1,0,0,0,0,0,3,0,1.997164,136,67
0,0,1,0,0,2,2,2,0,0,0,1,0,2,0,0,3,0,0,0,1.195486,138,21
0,0,0,1,0,0,0,2,4,0,2,0,1,0,0,0,0,0,0,3,1.596489,139,24
0,0,1,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0,0,3,1.130711,142,28
0,0,0,1,0,4,0,2,0,0,1,0,0,1,1,0,3,0,0,0,1.267128,143,81
0,0,0,0,1,2,4,0,0,0,0,1,1,1,0,0,3,0,0,0,1.227676,144,30
0,0,0,1,0,0,2,2,0,2,1,0,0,1,1,0,3,0,0,0,1.492970,146,23
0,0,0,0,1,2,2,0,2,0,1,0,0,2,0,0,3,0,0,0,1.089050,147,33
0,0,0,0,1,0,2,0,2,2,2,0,0,0,1,3,0,0,0,0,1.229105,150,78
1,0,0,0,0,2,0,2,2,0,2,0,0,1,0,0,3,0,0,0,1.656734,151,27
0,0,0,0,1,0,2,0,2,2,1,1,1,0,0,0,3,0,0,0,1.410586,152,35
0,0,0,1,0,4,0,0,0,2,0,1,1,0,1,3,0,0,0,0,1.305121,153,86
0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0.944131,154,74
0,0,0,0,1,2,2,0,2,0,1,0,0,0,2,0,0,0,3,0,1.009679,155,95
0,0,0,0,1,0,0,0,6,0,0,0,2,1,0,3,0,0,0,0,1.184902,156,52
0,0,0,1,0,0,2,2,0,2,0,0,0,2,1,0,3,0,0,0,1.454553,157,49
0,0,0,1,0,0,4,0,2,0,0,0,1,1,1,3,0,0,0,0,1.460495,158,32
0,1,0,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,0,3,1.996119,159,55
1,0,0,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,3,1.726481,160,41
0,1,0,0,0,0,0,6,0,0,0,0,0,1,2,0,3,0,0,0,1.630461,161,38
0,0,0,0,1,2,0,2,2,0,0,0,2,1,0,0,0,0,0,3,1.202205,162,34
0,0,0,0,1,2,2,0,2,0,0,1,0,0,2,0,0,0,0,3,1.077132,163,40
0,0,1,0,0,0,0,0,2,4,0,0,1,0,2,3,0,0,0,0,1.624212,165,64
0,0,0,0,1,2,2,0,2,0,0,1,0,1,1,0,0,3,0,0,1.080921,167,42
0,0,0,0,1,0,0,2,0,4,0,2,0,0,1,0,0,0,3,0,1.337154,169,44
0,0,0,0,1,0,0,4,0,2,0,1,1,0,1,0,3,0,0,0,1.099624,170,57
0,1,0,0,0,4,0,2,0,0,1,0,1,1,0,0,0,0,3,0,1.603149,171,54
0,0,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0,3,0,0,1.618647,172,48
1,0,0,0,0,0,0,0,4,2,0,2,0,0,1,3,0,0,0,0,2.027472,174,43
0,1,0,0,0,0,2,0,4,0,0,1,0,1,1,0,0,3,0,0,1.845276,175,59
0,0,0,1,0,0,0,0,2,4,1,1,0,1,0,0,3,0,0,0,1.594715,176,45
1,0,0,0,0,0,4,0,2,0,0,2,0,0,1,0,3,0,0,0,1.931817,177,63
0,0,0,0,1,0,2,2,2,0,1,1,1,0,0,0,0,0,0,3,1.302593,178,5
1,0,0,0,0,0,2,2,2,0,1,1,0,0,1,0,0,3,0,0,1.842754,179,60
0,0,0,0,1,0,2,0,0,4,1,1,1,0,0,0,0,3,0,0,1.561678,180,56
1,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,3,0,0,1.787374,182,80
0,0,1,0,0,2,2,0,2,0,0,1,1,0,1,0,0,0,3,0,1.257906,183,53
0,0,1,0,0,2,0,2,0,2,0,0,1,2,0,3,0,0,0,0,1.294936,184,58
0,0,0,1,0,0,6,0,0,0,1,1,1,0,0,0,0,0,3,0,1.660657,185,73
0,0,0,0,1,4,0,2,0,0,0,0,0,1,2,0,0,0,0,3,1.041467,186,61
0,0,0,1,0,2,0,2,0,2,1,1,0,0,1,0,3,0,0,0,1.403189,188,93
1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,0,3,0,1.650745,189,82
0,1,0,0,0,0,4,0,2,0,0,0,0,2,1,3,0,0,0,0,1.821955,191,87
0,0,0,1,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,3,1.365632,192,85
0,1,0,0,0,2,2,0,2,0,0,2,1,0,0,3,0,0,0,0,1.801101,193,113
0,0,1,0,0,0,4,0,2,0,0,0,3,0,0,0,0,0,3,0,1.475150,194,66
0,0,0,0,1,2,0,2,0,2,1,1,1,0,0,3,0,0,0,0,1.254716,195,1
1,0,0,0,0,6,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1.527285,196,71
0,0,1,0,0,0,2,0,4,0,1,0,1,0,1,0,0,0,0,3,1.416357,198,3
1,0,0,0,0,0,2,4,0,0,1,1,0,0,1,0,0,3,0,0,1.763740,200,70
0,1,0,0,0,2,4,0,0,0,0,1,0,1,1,3,0,0,0,0,1.715683,201,127
0,0,1,0,0,0,0,2,0,4,2,0,1,0,0,3,0,0,0,0,1.660057,202,72
0,1,0,0,0,0,0,4,0,2,0,0,0,2,1,3,0,0,0,0,1.863858,203,68
0,0,0,0,1,2,2,0,2,0,1,0,0,1,1,3,0,0,0,0,1.121256,204,79
0,1,0,0,0,0,2,0,2,2,1,0,1,1,0,3,0,0,0,0,2.039689,206,115
0,0,1,0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,3,0,1.666998,207,65
0,0,1,0,0,4,0,0,2,0,0,1,0,0,2,3,0,0,0,0,1.101214,208,77
0,0,1,0,0,0,2,2,0,2,1,0,1,1,0,3,0,0,0,0,1.452119,209,76
0,1,0,0,0,4,0,0,0,2,1,0,1,0,1,0,0,0,0,3,1.702287,211,126
0,1,0,0,0,2,2,2,0,0,0,0,1,0,2,0,3,0,0,0,1.570806,212,96
0,0,0,0,1,0,4,0,2,0,0,0,1,1,1,0,0,3,0,0,1.212932,214,84
0,0,1,0,0,2,0,0,4,0,0,1,2,0,0,0,3,0,0,0,1.270542,216,75
0,0,1,0,0,0,2,2,0,2,0,2,0,0,1,0,0,0,3,0,1.526522,218,90
0,0,1,0,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,3,1.519208,219,92
0,0,0,0,1,2,0,2,0,2,0,0,1,2,0,0,0,3,0,0,1.139528,220,112
0,1,0,0,0,0,2,2,2,0,1,0,0,2,0,0,0,3,0,0,1.909993,221,88
0,0,0,1,0,0,0,4,2,0,1,0,0,2,0,0,0,3,0,0,1.348280,222,83
0,0,1,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,3,0,1.628948,223,91
1,0,0,0,0,0,0,0,4,2,0,0,2,1,0,0,3,0,0,0,2.057384,224,98
1,0,0,0,0,0,4,0,2,0,0,0,1,2,0,0,3,0,0,0,1.911469,225,102
0,0,0,0,1,2,0,4,0,0,0,1,0,2,0,0,0,3,0,0,1.030840,227,103
1,0,0,0,0,2,0,0,2,2,0,1,0,1,1,3,0,0,0,0,1.831219,228,89
0,0,0,0,1,2,0,2,0,2,0,0,0,2,1,0,0,0,3,0,1.112309,229,97
0,1,0,0,0,0,0,2,0,4,0,0,0,2,1,0,3,0,0,0,2.006579,230,109
0,0,1,0,0,0,2,2,2,0,0,1,1,0,1,0,0,3,0,0,1.287736,231,99
0,0,1,0,0,2,2,0,2,0,1,2,0,0,0,0,0,3,0,0,1.205356,232,105
0,0,0,1,0,0,2,2,0,2,1,0,1,1,0,0,0,0,0,3,1.604291,234,100
0,0,0,0,1,0,4,0,2,0,0,0,2,0,1,0,3,0,0,0,1.119264,235,151
0,0,0,1,0,0,0,2,0,4,0,0,1,1,1,0,0,3,0,0,1.517588,238,104
1,0,0,0,0,0,0,2,2,2,1,2,0,0,0,0,3,0,0,0,2.024514,239,94
0,1,0,0,0,0,2,2,0,2,0,0,2,1,0,0,0,0,0,3,1.943442,240,111
0,0,0,0,1,2,0,0,2,2,1,1,0,0,1,0,0,0,0,3,1.205146,241,110
0,0,0,0,1,2,2,2,0,0,0,1,2,0,0,3,0,0,0,0,1.308718,242,101
0,0,0,1,0,2,2,0,0,2,1,0,1,0,1,0,0,0,0,3,1.545733,243,108
0,1,0,0,0,0,2,2,0,2,0,2,0,0,1,3,0,0,0,0,1.943903,245,117
0,0,1,0,0,0,4,0,0,2,0,0,0,0,3,0,3,0,0,0,1.455412,246,106
1,0,0,0,0,0,2,2,0,2,0,3,0,0,0,0,0,0,3,0,1.946490,247,2
0,1,0,0,0,0,4,0,2,0,0,0,1,1,1,0,0,3,0,0,1.801314,248,114
0,0,0,1,0,0,2,2,0,2,1,0,0,2,0,0,3,0,0,0,1.534919,252,116
0,0,0,0,1,2,0,0,2,2,0,1,1,0,1,0,3,0,0,0,1.149754,254,148
0,0,0,1,0,0,0,4,2,0,0,0,1,1,1,0,3,0,0,0,1.238611,255,107
0,1,0,0,0,2,4,0,0,0,0,2,0,0,1,0,3,0,0,0,1.675272,259,212
0,1,0,0,0,2,0,0,2,2,1,0,1,1,0,0,3,0,0,0,1.859440,260,204
