feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
1,0,0,0,0,0,0,2,0,4,1,1,0,1,0,0,3,0,0,0,1.802300,110,16
0,0,0,0,1,0,2,2,2,0,1,0,0,0,2,0,0,0,3,0,0.762443,111,47
0,0,0,1,0,4,0,0,2,0,0,1,0,1,1,0,0,3,0,0,0.816041,113,69
0,1,0,0,0,2,0,0,2,2,2,0,1,0,0,0,0,0,3,0,1.675674,114,36
0,0,0,1,0,2,0,0,4,0,0,1,1,1,0,3,0,0,0,0,1.018325,115,25
0,0,0,1,0,2,4,0,0,0,0,1,1,0,1,0,0,3,0,0,1.081289,116,50
0,0,0,1,0,0,4,2,0,0,2,0,1,0,0,0,0,0,0,3,1.255607,117,12
0,0,0,1,0,0,2,0,0,4,0,0,0,3,0,0,0,0,3,0,1.241379,119,13
0,0,1,0,0,0,0,0,6,0,1,1,0,0,1,0,3,0,0,0,1.053007,120,17
0,1,0,0,0,0,0,2,0,4,0,0,2,1,0,0,0,0,3,0,1.736234,122,19
1,0,0,0,0,0,4,0,2,0,1,0,1,1,0,0,3,0,0,0,1.579818,123,46
1,0,0,0,0,0,0,2,0,4,0,0,0,1,2,3,0,0,0,0,1.694868,124,14
1,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,3,0,0,0,1.256644,125,31
1,0,0,0,0,0,0,0,2,4,1,0,2,0,0,3,0,0,0,0,1.870228,127,51
0,1,0,0,0,0,2,0,2,2,2,1,0,0,0,0,0,0,0,3,1.739890,130,62
0,0,0,1,0,0,0,4,2,0,0,0,2,1,0,0,0,0,3,0,1.026913,131,18
1,0,0,0,0,4,0,0,2,0,2,0,1,0,0,0,0,0,0,3,1.311147,133,39
0,0,1,0,0,0,4,0,2,0,1,1,1,0,0,3,0,0,0,0,1.046446,134,22
0,0,1,0,0,0,4,0,2,0,1,0,0,1,1,0,0,0,0,3,1.053696,135,37
1,0,0,0,0,0,4,0,0,2,1,1,1,0,0,0,0,0,3,0,1.652164,136,67
0,0,1,0,0,2,2,2,0,0,0,1,0,2,0,0,3,0,0,0,0.850486,138,21
0,0,0,1,0,0,0,2,4,0,2,0,1,0,0,0,0,0,0,3,1.251489,139,24
0,0,1,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0,0,3,0.785711,142,28
0,0,0,1,0,4,0,2,0,0,1,0,0,1,1,0,3,0,0,0,0.922128,143,81
0,0,0,0,1,2,4,0,0,0,0,1,1,1,0,0,3,0,0,0,0.882676,144,30
0,0,0,1,0,0,2,2,0,2,1,0,0,1,1,0,3,0,0,0,1.147970,146,23
0,0,0,0,1,2,2,0,2,0,1,0,0,2,0,0,3,0,0,0,0.744050,147,33
0,0,0,0,1,0,2,0,2,2,2,0,0,0,1,3,0,0,0,0,0.884105,150,78
1,0,0,0,0,2,0,2,2,0,2,0,0,1,0,0,3,0,0,0,1.311734,151,27
0,0,0,0,1,0,2,0,2,2,1,1,1,0,0,0,3,0,0,0,1.065586,152,35
0,0,0,1,0,4,0,0,0,2,0,1,1,0,1,3,0,0,0,0,0.960121,153,86
0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0.599131,154,74
0,0,0,0,1,2,2,0,2,0,1,0,0,0,2,0,0,0,3,0,0.664679,155,95
0,0,0,0,1,0,0,0,6,0,0,0,2,1,0,3,0,0,0,0,0.839902,156,52
0,0,0,1,0,0,2,2,0,2,0,0,0,2,1,0,3,0,0,0,1.109553,157,49
0,0,0,1,0,0,4,0,2,0,0,0,1,1,1,3,0,0,0,0,1.115495,158,32
0,1,0,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,0,3,1.651119,159,55
1,0,0,0,0,0,2,4,0,0,0,1,1,0,1,0,0,0,0,3,1.381481,160,41
0,1,0,0,0,0,0,6,0,0,0,0,0,1,2,0,3,0,0,0,1.285461,161,38
0,0,0,0,1,2,0,2,2,0,0,0,2,1,0,0,0,0,0,3,0.857205,162,34
0,0,0,0,1,2,2,0,2,0,0,1,0,0,2,0,0,0,0,3,0.732132,163,40
0,0,1,0,0,0,0,0,2,4,0,0,1,0,2,3,0,0,0,0,1.279212,165,64
0,0,0,0,1,2,2,0,2,0,0,1,0,1,1,0,0,3,0,0,0.735921,167,42
0,0,0,0,1,0,0,2,0,4,0,2,0,0,1,0,0,0,3,0,0.992154,169,44
0,0,0,0,1,0,0,4,0,2,0,1,1,0,1,0,3,0,0,0,0.754624,170,57
0,1,0,0,0,4,0,2,0,0,1,0,1,1,0,0,0,0,3,0,1.258149,171,54
0,0,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0,3,0,0,1.273647,172,48
1,0,0,0,0,0,0,0,4,2,0,2,0,0,1,3,0,0,0,0,1.682472,174,43
0,1,0,0,0,0,2,0,4,0,0,1,0,1,1,0,0,3,0,0,1.500276,175,59
0,0,0,1,0,0,0,0,2,4,1,1,0,1,0,0,3,0,0,0,1.249715,176,45
1,0,0,0,0,0,4,0,2,0,0,2,0,0,1,0,3,0,0,0,1.586817,177,63
0,0,0,0,1,0,2,2,2,0,1,1,1,0,0,0,0,0,0,3,0.957593,178,5
1,0,0,0,0,0,2,2,2,0,1,1,0,0,1,0,0,3,0,0,1.497754,179,60
0,0,0,0,1,0,2,0,0,4,1,1,1,0,0,0,0,3,0,0,1.216678,180,56
1,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,3,0,0,1.442374,182,80
0,0,1,0,0,2,2,0,2,0,0,1,1,0,1,0,0,0,3,0,0.912906,183,53
0,0,1,0,0,2,0,2,0,2,0,0,1,2,0,3,0,0,0,0,0.949936,184,58
0,0,0,1,0,0,6,0,0,0,1,1,1,0,0,0,0,0,3,0,1.315657,185,73
0,0,0,0,1,4,0,2,0,0,0,0,0,1,2,0,0,0,0,3,0.696467,186,61
0,0,0,1,0,2,0,2,0,2,1,1,0,0,1,0,3,0,0,0,1.058189,188,93
1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,0,3,0,1.305745,189,82
0,1,0,0,0,0,4,0,2,0,0,0,0,2,1,3,0,0,0,0,1.476955,191,87
0,0,0,1,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,3,1.020632,192,85
0,1,0,0,0,2,2,0,2,0,0,2,1,0,0,3,0,0,0,0,1.456101,193,113
0,0,1,0,0,0,4,0,2,0,0,0,3,0,0,0,0,0,3,0,1.130150,194,66
0,0,0,0,1,2,0,2,0,2,1,1,1,0,0,3,0,0,0,0,0.909716,195,1
1,0,0,0,0,6,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1.182285,196,71
0,0,1,0,0,0,2,0,4,0,1,0,1,0,1,0,0,0,0,3,1.071357,198,3
1,0,0,0,0,0,2,4,0,0,1,1,0,0,1,0,0,3,0,0,1.418740,200,70
0,1,0,0,0,2,4,0,0,0,0,1,0,1,1,3,0,0,0,0,1.370683,201,127
0,0,1,0,0,0,0,2,0,4,2,0,1,0,0,3,0,0,0,0,1.315057,202,72
0,1,0,0,0,0,0,4,0,2,0,0,0,2,1,3,0,0,0,0,1.518858,203,68
0,0,0,0,1,2,2,0,2,0,1,0,0,1,1,3,0,0,0,0,0.776256,204,79
0,1,0,0,0,0,2,0,2,2,1,0,1,1,0,3,0,0,0,0,1.694689,206,115
0,0,1,0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,3,0,1.321998,207,65
0,0,1,0,0,4,0,0,2,0,0,1,0,0,2,3,0,0,0,0,0.756214,208,77
0,0,1,0,0,0,2,2,0,2,1,0,1,1,0,3,0,0,0,0,1.107119,209,76
0,1,0,0,0,4,0,0,0,2,1,0,1,0,1,0,0,0,0,3,1.357287,211,126
0,1,0,0,0,2,2,2,0,0,0,0,1,0,2,0,3,0,0,0,1.225806,212,96
0,0,0,0,1,0,4,0,2,0,0,0,1,1,1,0,0,3,0,0,0.867932,214,84
0,0,1,0,0,2,0,0,4,0,0,1,2,0,0,0,3,0,0,0,0.925542,216,75
0,0,1,0,0,0,2,2,0,2,0,2,0,0,1,0,0,0,3,0,1.181522,218,90
0,0,1,0,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,3,1.174208,219,92
0,0,0,0,1,2,0,2,0,2,0,0,1,2,0,0,0,3,0,0,0.794528,220,112
0,1,0,0,0,0,2,2,2,0,1,0,0,2,0,0,0,3,0,0,1.564993,221,88
0,0,0,1,0,0,0,4,2,0,1,0,0,2,0,0,0,3,0,0,1.003280,222,83
0,0,1,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,3,0,1.283948,223,91
1,0,0,0,0,0,0,0,4,2,0,0,2,1,0,0,3,0,0,0,1.712384,224,98
1,0,0,0,0,0,4,0,2,0,0,0,1,2,0,0,3,0,0,0,1.566469,225,102
0,0,0,0,1,2,0,4,0,0,0,1,0,2,0,0,0,3,0,0,0.685840,227,103
1,0,0,0,0,2,0,0,2,2,0,1,0,1,1,3,0,0,0,0,1.486219,228,89
0,0,0,0,1,2,0,2,0,2,0,0,0,2,1,0,0,0,3,0,0.767309,229,97
0,1,0,0,0,0,0,2,0,4,0,0,0,2,1,0,3,0,0,0,1.661579,230,109
0,0,1,0,0,0,2,2,2,0,0,1,1,0,1,0,0,3,0,0,0.942736,231,99
0,0,1,0,0,2,2,0,2,0,1,2,0,0,0,0,0,3,0,0,0.860356,232,105
0,0,0,1,0,0,2,2,0,2,1,0,1,1,0,0,0,0,0,3,1.259291,234,100
0,0,0,0,1,0,4,0,2,0,0,0,2,0,1,0,3,0,0,0,0.774264,235,151
0,0,0,1,0,0,0,2,0,4,0,0,1,1,1,0,0,3,0,0,1.172588,238,104
1,0,0,0,0,0,0,2,2,2,1,2,0,0,0,0,3,0,0,0,1.679514,239,94
0,1,0,0,0,0,2,2,0,2,0,0,2,1,0,0,0,0,0,3,1.598442,240,111
